,H38310,H37100,8000,H30000,Intro-H,1000,H11100,17000,H30200,H35000,H8D000,H1L220,H1L210,H1B000,B00100,H12300,5500,H37300,H30300,H14000,10000,14500,H15000,H38900,H36210,H8A000,H36200,E40000,36000,E30000,E20000,28000,H37220,H12210,5000,H12410,H12200,H38800,H30800,14000,9000,H41931,H41610,19500,H40140,H36610,H82000,H36600,H12440,H12420,H12100,H40110,H11210,H17000,H38400,H41400,H40150,H38410,H40130,H41930,14900,20500,H36110,H36100,H36700,H30230,H12700,H36510,H36500,80000,H12490
Received in the Senate.,Motion to reconsider laid on the table Agreed to without objection.,On agreeing to the resolution Agreed to without objection. (text: CR H37),Passed/agreed to in House: On agreeing to the resolution Agreed to without objection.(text: CR H37),Considered as privileged matter. (consideration: CR H37),Introduced in House,Introduced in House,Referred to the House Committee on Oversight and Reform.,"Passed/agreed to in Senate: Received in the Senate, considered, and agreed to without amendment by Unanimous Consent.(consideration: CR S213)","Without objection, the Chair laid before the House H. Con. Res. 10. (consideration: CR H255)",The previous question was ordered pursuant to the rule.,DEBATE - The House proceeded with three hours of debate on H. Con. Res. 11.,Rule H. Res. 85 passed House.,Rules Committee Resolution H. Res. 85 Reported to House. Rule provides for consideration of H.R. 447 and H. Con. Res. 11 with 1 hour of debate on H.R. 447 and 3 hours of debate on H. Con. Res. 11. The previous question on both measures shall be considered as ordered. The rule also provides for a motion to recommit on H.R. 447.,"Pursuant to the provisions of H. Res. 330, H. Con. Res. 30 is considered passed House. (consideration: CR H1979; text: CR H1979)",Sponsor introductory remarks on measure. (CR H2557),Committee on Transportation discharged.,Committee on Transportation discharged.,"On motion to suspend the rules and agree to the resolution, as amended Agreed to by voice vote. (text: CR H6134)","Mr. McGovern moved to suspend the rules and agree to the resolution, as amended.",Received in the House.,Introduced in Senate,Senate Committee on the Budget discharged pursuant to Section 300 of the Congressional Budget Act.,Held at the desk.,"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 1.",On motion to recommit Failed by the Yeas and Nays: 210 - 219 (Roll no. 61).,The previous question on the motion to recommit was ordered pursuant to the rule.,"Mr. Davis, Rodney moved to recommit to the Committee on House Administration. (text: CR H1039)",Became Public Law No: 117-28.,Became Public Law No: 117-28.,Signed by President.,Presented to President.,Presented to President.,"At the conclusion of debate, the Yeas and Nays were demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed.","Supplemental report filed by the Committee on Oversight and Reform, H. Rept. 117-19, Part II.","Supplemental report filed by the Committee on Oversight and Reform, H. Rept. 117-19, Part II.","Placed on the Union Calendar, Calendar No. 6.","Reported (Amended) by the Committee on Oversight and Reform. H. Rept. 117-19, Part I.",The title of the measure was amended. Agreed to without objection.,Consideration initiated pursuant to a previous order.,Committee on Homeland Security and Governmental Affairs. Reported by Senator Peters without amendment. Without written report.,Failed of passage/not agreed to in House: On motion to suspend the rules and pass the bill Failed by the Yeas and Nays: (2/3 required): 240 - 188 (Roll no. 160).,Motion to reconsider laid on the table Agreed to without objection.,On motion that the House suspend the rules and agree to the Senate amendment Agreed to by the Yeas and Nays: (2/3 required): 384 - 38 (Roll no. 98). (text: CR H1729-1730),Resolving differences -- House actions: On motion that the House suspend the rules and agree to the Senate amendment Agreed to by the Yeas and Nays: (2/3 required): 384 - 38 (Roll no. 98).(text: CR H1729-1730),Mr. Yarmuth moved that the House suspend the rules and concur in the Senate amendment. (consideration: CR H1729-1733),Table the motion to reconsider Agreed to by the Yeas and Nays: 211 - 195 (Roll no. 40).,Mr. Cicilline moved to table the motion to reconsider,Mr. Kildee moved to reconsider.,Motion to place bill on Consensus Calendar filed by Ms. Kuster.,"Placed on the House Calendar, Calendar No. 41.","The House Committee on Appropriations reported an original measure, H. Rept. 117-84, by Ms. Lee (CA).","Without objection, the Chair laid before the House H.R. 1651  along with the Senate amendment thereto. (consideration: CR H1687)","House Committee on House Administration Granted an extension for further consideration ending not later than Nov. 30, 2021.","Motion to Discharge Committee filed by Mrs. Greene (GA). Petition No: 117-7. (<a href=""https://clerk.house.gov/DischargePetition/20211025?CongressNum=117"">Discharge petition</a> text with signatures.)",Mr. Neal moved to reconsider the vote.,The previous question was ordered pursuant to the rule.,Mr. Yarmuth moved that the House concur in the Senate amendment. (consideration: CR H1196-1286),On motion to table the motion to reconsider Agreed to by the Yeas and Nays: 219 - 209 (Roll no. 248).,Pursuant to a previous special order the House moved to agree to the Senate amendment.,Kelly (IL) moved to reconsider the vote. (CR H6231),By Senator Warner from Select Committee on Intelligence filed written report. Report No. 117-37. Additional views filed.,Resolving differences -- Senate actions: Senate agreed to the House amendment to S. 1511 by Unanimous Consent.(consideration: CR S8054),On motion to commit with instructions Failed by the Yeas and Nays: 203 - 217 (Roll no. 7).,Mr. Smith (MO) moved to commit with instructions to a select committee. (text: CR H35),"Mr. Davis, Rodney moved to refer to a select committee.",An objection was heard to the unanimous consent request to consider the measure.,Rule provides for consideration of H. Res. 24 with 2 hours of general debate. Previous question shall be considered as ordered without intervening motions. Measure will be considered read. Bill is closed to amendments.,"On motion to table the measure Agreed to by the Yeas and Nays: 218 - 200, 3 Present (Roll no. 94).",Mr. Hoyer moved to table the measure.,"Amendment failed by House: Pursuant to the provisions of H. Res. 179, H. Res. 176 is considered passed House.",Discharged from House Calendar.
"Referred to the Subcommittee on the Constitution, Civil Rights, and Civil Liberties.",Motion to reconsider laid on the table. Agreed to without objection.,On agreeing to the resolution Agreed to without objection. (text: CR H255),Passed/agreed to in House: On agreeing to the resolution Agreed to without objection.(text: CR H255),Considered under the provisions of rule H. Res. 85. (consideration: CR H284-314),,,Referred to the House Committee on Education and Labor.,"Passed/agreed to in Senate: Received in the Senate, considered, and agreed to without amendment by Unanimous Consent.(consideration: CR S1865)","Without objection, the Chair laid before the House H. Con. Res. 27.",The previous question was ordered pursuant to a previous  order of the House.,Rule provides for consideration of H.R. 447 and H. Con. Res. 11 with 1 hour of debate on H.R. 447 and 3 hours of debate on H. Con. Res. 11. The previous question on both measures shall be considered as ordered. The rule also provides for a motion to recommit on H.R. 447.,Rule H. Res. 101 passed House.,Rules Committee Resolution H. Res. 101 Reported to House. Rule provides for consideration of S. Con. Res. 5 with 1 hour of general debate.,"Pursuant to the provisions of H. Res. 101, S. Con. Res. 5 is considered passed House. (consideration: CR H447-455)",Sponsor introductory remarks on measure. (CR E869),Committee on Energy and Commerce discharged.,Committee on Energy and Commerce discharged.,On motion to suspend the rules and pass the bill Agreed to by voice vote. (text: CR H66-67),"Mrs. Maloney, Carolyn B. moved to suspend the rules and pass the bill.",,,Senate Committee on Homeland Security and Governmental Affairs discharged by Unanimous Consent.,,"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 4373.",On motion to recommit Failed by the Yeas and Nays: 205 - 215 (Roll no. 131).,The previous question on the motion to recommit was ordered without objection.,Mr. Griffith moved to recommit to the Committee on Oversight and Reform. (text: CR H2081-2088),Became Public Law No: 117-1.,Signed by President.,,,,"At the conclusion of debate, a recorded vote was demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed.","Supplemental report filed by the Committee on Foreign Affairs, H. Rept. 117-56, Part II.","Reported (Amended) by the Committee on Oversight and Reform. H. Rept. 117-19, Part I.","Placed on the Union Calendar, Calendar No. 4.","Reported (Amended) by the Committee on Science, Space, and Technology. H. Rept. 117-16.",,Consideration initiated by the Chair.,Committee on Foreign Relations. Reported by Senator Menendez with an amendment in the nature of a substitute. Without written report.,Failed of passage/not agreed to in House: On motion to suspend the rules and pass the bill Failed by the Yeas and Nays: (2/3 required): 259 - 170 (Roll no. 308).,On motion to table the motion to reconsider Agreed to by the Yeas and Nays: 228 - 205 (Roll no. 370).,On motion that the House agree to the Senate amendment Agreed to without objection. (text: CR H1687),Resolving differences -- House actions: On motion that the House agree to the Senate amendment Agreed to without objection.(text: CR H1687),Ms. DeLauro moved that the House suspend the rules and agree to the Senate amendment. (consideration: CR H4265-4270),On motion to table the motion to reconsider Agreed to by the Yeas and Nays: 217 - 105 (Roll no. 386).,Ms. DeLauro moved to table the motion to reconsider,Mr. McGovern moved to table the motion to reconsider the vote.,Motion to place bill on Consensus Calendar filed by Mr. Stivers.,"Placed on the House Calendar, Calendar No. 21.","The House Committee on Appropriations reported an original measure, H. Rept. 117-82, by Mr. Bishop (GA).",Mr. Takano asked unanimous consent that the House agree to the Senate amendment. (consideration: CR H2772-2773),"House Committee on Ways and Means Granted an extension for further consideration ending not later than Dec. 3, 2021.","Motion to Discharge Committee filed by Mr. McHenry. Petition No: 117-5. (<a href=""https://clerk.house.gov/DischargePetition/20210910?CongressNum=117"">Discharge petition</a> text with signatures.)",Mr. Pallone moved to reconsider the vote.,The previous question was ordered pursuant to a previous order of the House.,Mr. DeFazio moved that the House agree to the Senate amendment. (CR H5446),,,,By Senator Carper from Committee on Environment and Public Works filed written report. Report No. 117-20.,Resolving differences -- Senate actions: Senate concurred in the House amendment to S.1301 with an amendment (SA 3847) by Yea-Nay Vote. 50 - 48. Record Vote Number: 412.(text of amendment in the nature of a substitute: CR S6993-6994),,,,,Resolution provides for consideration of H.R. 3233 and H.R. 3237 under a closed rule. The resolution provides that the previous question shall be ordered on both bills without intervening motion except one hour of debate and one motion to recommit.,On motion to table the measure Agreed to by the Yeas and Nays: 216 - 210 (Roll no. 122).,,,
Message on Senate action sent to the House.,Motion to reconsider laid on the table Objection heard.,On agreeing to the resolution Agreed to by the Yeas and Nays: 218 - 212 (Roll no. 21). (text: CR H284-288),Passed/agreed to in House: On agreeing to the resolution Agreed to by the Yeas and Nays: 218 - 212 (Roll no. 21).(text: CR H284-288),Considered by unanimous consent. (consideration: CR H1716),,,Referred to the House Committee on the Judiciary.,"Passed/agreed to in Senate: Received in the Senate, considered, and agreed to without amendment by Unanimous Consent.(consideration: CR S2135)","Without objection, the Chair laid before the House H. Con. Res. 28.",The previous question was ordered without objection.,DEBATE - The House proceeded with forty minutes of debate on H. Con. Res. 44.,Rule H. Res. 147 passed House.,Rules Committee Resolution H. Res. 179 Reported to House. Rule provides for consideration of H.R. 1 and H.R. 1280. Rule provides for 1 hour of general debate on H.R. 1 and one motion to recommit. Rule provides for 1 hour of general debate on H.R. 1280 and one motion to recommit.,"Pursuant to the provisions of H. Res. 601, S. Con. Res. 14 is considered passed House. (text: CR H4372-4384)",Sponsor introductory remarks on measure. (CR E929),Committee on the Judiciary discharged.,Committee on the Judiciary discharged.,On motion to suspend the rules and pass the bill Agreed to by voice vote. (text: CR H58-60),Mr. Soto moved to suspend the rules and pass the bill.,,,"Senate Committee on Health, Education, Labor, and Pensions discharged by Unanimous Consent.(consideration: CR S2550)",,"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 1620.",On motion to recommit Failed by the Yeas and Nays: 202 - 216 (Roll no. 95).,The previous question on the motion to recommit was ordered pursuant to clause 2(b) of rule XIX.,Mr. Smith (MO) moved to recommit to the Committee on the Budget. (text: CR H1598-1600),Became Public Law No: 117-33.,Became Public Law No: 117-1.,,,,"At the conclusion of debate, the Yeas and Nays were demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed. (text: CR H2360-2361)","Supplemental report filed by the Committee on Oversight and Reform, H. Rept. 117-89, Part II.","Reported (Amended) by the Committee on Science, Space, and Technology. H. Rept. 117-16.","Placed on the Union Calendar, Calendar No. 89.",Reported (Amended) by the Committee on Agriculture. H. Rept. 117-124.,,,Committee on Armed Services. Reported by Senator Inhofe without amendment. Without written report.,Failed of passage/not agreed to in House: On motion to suspend the rules and pass the bill Failed by the Yeas and Nays: (2/3 required): 250 - 168 (Roll no. 134).,,On motion that the House agree to the Senate amendment Agreed to without objection. (text: CR H1603),Resolving differences -- House actions: On motion that the House agree to the Senate amendment Agreed to without objection.(text: CR H1603),,On motion to table the motion to reconsider Agreed to by the Yeas and Nays: 239 - 181 (Roll no. 252).,Mr. Horsford moved to table the motion to reconsider the vote (CR H6231),Ms. DeLauro moved to table the motion to reconsider.,,"Placed on the House Calendar, Calendar No. 22.","The House Committee on Appropriations reported an original measure, H. Rept. 117-79, by Mr. Quigley.",,"House Committee on Energy and Commerce Granted an extension for further consideration ending not later than Dec. 3, 2021.","Motion to Discharge Committee filed by Mr. Long. Petition No: 117-8. (<a href=""https://clerk.house.gov/DischargePetition/20211101?CongressNum=117"">Discharge petition</a> text with signatures.)",,,,,,,By Senator Carper from Committee on Environment and Public Works filed written report. Report No. 117-41.,Resolving differences -- Senate actions: Senate agreed to the House amendment to S. 610 by Yea-Nay Vote. 59 - 35. Record Vote Number: 491.(consideration: CR S9081),,,,,Rule provides for 1 hour of general debate on H.R. 803 and one motion to recommit. Rule provides for 90 minutes of general debate on H.R. 5 and one motion to recommit.,On motion to table the measure Agreed to by the Yeas and Nays: 218 - 210 (Roll no. 153). (text: CR H2591),,,
"Received in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S213)",Motion to reconsider laid on the table Agreed to without objection. (text: CR H2716),On agreeing to the resolution Agreed to without objection. (text: CR H1716),Passed/agreed to in House: On agreeing to the resolution Agreed to without objection.(text: CR H1716),Considered by unanimous consent. (consideration: CR H4596),,,Referred to the House Committee on House Administration.,Passed/agreed to in Senate: Resolution agreed to in Senate without amendment by Unanimous Consent.(consideration: CR S6666),Ms. Titus asked unanimous consent to discharge from committee and consider.,On ordering the previous question Agreed to by the Yeas and Nays: 217 - 204 (Roll no. 6).,DEBATE - The House proceeded with forty minutes of debate on H.R. 23.,Rule H. Res. 188 passed House.,"Rules Committee Resolution H. Res. 330 Reported to House. Rule provides for consideration of H.R. 51, H.R. 1573 and H.R. 1333. Measure will be considered read. Bill is closed to amendments. The previous question on each measure is considered ordered without intervening motions except one hour of debate and a motion to recommit. H. Res. 316 and H. Con. Res. 30 are adopted.","Pursuant to the provisions of H. Res. 403, proceedings on H.R. 144 are considered vacated.",Sponsor introductory remarks on measure. (CR H5772),Committee on Armed Services discharged.,Committee on Armed Services discharged.,On motion to suspend the rules and pass the bill Agreed to by voice vote. (text: CR H68),"Mr. Takano moved to suspend the rules and pass the bill, as amended.",,,Senate Committee on the Judiciary discharged by Unanimous Consent.,,"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 2467.",On motion to recommit Failed by the Yeas and Nays: 204 - 219 (Roll no. 171).,The previous question on the motion was ordered without objection.,Mr. McCaul moved to recommit to the Committee on Foreign Affairs. (text: CR H2909),Became Public Law No: 117-7.,Became Public Law No: 117-33.,,,,,"Supplemental report filed by the Committee on Armed Services, H. Rept. 117-118, Part II.",Reported (Amended) by the Committee on Agriculture. H. Rept. 117-124.,"Placed on the Union Calendar, Calendar No. 42.",Reported by the Committee on Veterans' Affairs. H. Rept. 117-60.,,,Committee on Environment and Public Works. Reported by Senator Carper without amendment. Without written report.,"Failed of passage/not agreed to in House: On motion to suspend the rules and pass the bill, as amended Failed by the Yeas and Nays: (2/3 required): 248 - 177 (Roll no. 162).",,On motion that the House suspend the rules and agree to the Senate amendment Agreed to by the Yeas and Nays: (2/3 required): 416 - 11 (Roll no. 250). (text: CR H4265-4267),Resolving differences -- House actions: On motion that the House suspend the rules and agree to the Senate amendment Agreed to by the Yeas and Nays: (2/3 required): 416 - 11 (Roll no. 250).(text: CR H4265-4267),,On agreeing to the remainder of the resolution Agreed to by voice vote.,Mr. Hoyer moved to table the motion to refer,Mr. Jeffries moved On agreeing to the remainder of the resolution.,,"Placed on the House Calendar, Calendar No. 43.","The House Committee on Appropriations reported an original measure, H. Rept. 117-88, by Ms. McCollum.",,"House Committee on Ways and Means Granted an extension for further consideration ending not later than Nov. 18, 2021.","Motion to Discharge Committee filed by Mr. Roy. Petition No: 117-2. (<a href=""https://clerk.house.gov/DischargePetition/20210420?CongressNum=117"">Discharge petition</a> text with signatures.)",,,,,,,,,,,,,Rule provides for consideration of H. Res. 72 with 1 hour of general debate. Previous question shall be considered as ordered without intervening motions.,On motion to table the measure Agreed to by the Yeas and Nays: 218 - 197 (Roll no. 219).,,,
Received in the Senate. Placed on Senate Legislative Calendar under General Orders. Calendar No. 5.,,On agreeing to the resolution Agreed to without objection. (text: CR H4596),"Passed/agreed to in House: Pursuant to the provisions of H. Res. 330, H. Con. Res. 30 is considered passed House.(consideration: CR H1979; text: CR H1979)",Considered under suspension of the rules. (consideration: CR H6134-6136),,,Referred to the House Committee on the Budget.,"Passed/agreed to in Senate: Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent.(consideration: CR S7; text: CR S7)",Mr. Smith (WA) asked unanimous consent to consider as introduced.,The previous question was ordered pursuant to the rule on the resolution and the preamble.,DEBATE - The House proceeded with forty minutes of debate on H.R. 21.,Rule H. Res. 716 passed House.,"Rules Committee Resolution H. Res. 486 Reported to House. The resolution provides for 1 hour of debate, orders the previous question, and allows a motion to recommit for each measure. Provides that H. Res. 485 is adopted. Provides that anytime through the legislative day of June 25, 2021, the Speaker may entertain motions offered by the Majority Leader or his designee that the House suspend the rules with respect to multiple measures that were the object of motions to suspend the rules on the legislative days of June 22 or 23, and on which the yeas and nays were ordered and further proceedings postponed.","Pursuant to the provisions of H. Res. 403, proceedings on H.R. 204 are considered vacated.",Sponsor introductory remarks on measure. (CR 7623-7624),Committee on Rules discharged.,Committee on Rules discharged.,On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 412 - 2 (Roll no. 9). (text: CR H62),"Ms. Bonamici moved to suspend the rules and pass the bill, as amended.",,,Senate Committee on Veterans' Affairs discharged by Unanimous Consent.,,"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 4346.",On motion to recommit Failed by the Yeas and Nays: 207 - 217 (Roll no. 242).,The previous question on the motion to recommit was ordered pursuant clause 2(b) of rule XIX.,"Mr. Gonzales, Tony moved to recommit to the Committee on Appropriations. (text: CR H4173-4174)",Became Public Law No: 117-15.,Became Public Law No: 117-7.,,,,,"Supplemental report filed by the Committee on Transportation, H. Rept. 117-70, Part II.",Reported by the Committee on Veterans' Affairs. H. Rept. 117-60.,"Placed on the Union Calendar, Calendar No. 39.",Reported by the Committee on Foreign Affairs. H. Rept. 117-56.,,,Committee on the Judiciary. Reported by Senator Durbin without amendment. Without written report.,,,On motion that the House agree to the Senate amendment Agreed to without objection. (text: CR H2772),Resolving differences -- House actions: On motion that the House agree to the Senate amendment Agreed to without objection.,,On agreeing to that portion electing the Chaplain Agreed to by voice vote.,Mr. Hoyer moved to table the motion to postpone consideration to a day certain,Ms. Cheney moved On agreeing to that portion electing the Chaplain.,,"Placed on the House Calendar, Calendar No. 42.","The House Committee on Appropriations reported an original measure, H. Rept. 117-97, by Mr. Cartwright.",,"House Committee on Energy and Commerce Granted an extension for further consideration ending not later than Nov. 18, 2021.","Motion to Discharge Committee filed by Mrs. Cammack. Petition No: 117-1. (<a href=""https://clerk.house.gov/DischargePetition/20210414?CongressNum=117"">Discharge petition</a> text with signatures.)",,,,,,,,,,,,,Rule provides for consideration of S. Con. Res. 5 with 1 hour of general debate.,,,,
Referred to the Subcommittee on Energy.,,On agreeing to the resolution Agreed to without objection. (text: CR H7223),Passed/agreed to in House: On agreeing to the resolution Agreed to without objection.(text: CR H4596),Considered by unanimous consent. (consideration: CR H7223),,,Referred to the House Committee on Veterans' Affairs.,Passed/agreed to in Senate: Resolution agreed to in Senate with an amendment by Yea-Nay Vote. 51 - 50. Record Vote Number: 54.(text: 02/04/21 CR S460-467),Mr. Estes asked unanimous consent to take from the Speaker's table and consider.,On ordering the previous question Agreed to by the Yeas and Nays: 221 - 205 (Roll no. 15).,"Pursuant to clause 1(c) of Rule XIX, the House resumed with further consideration of H.R. 1.",Rule H. Res. 330 passed House.,"Rules Committee Resolution H. Res. 233 Reported to House. Rule provides for consideration of H.R. 1620, H.R. 6, H.R. 1603, H.R. 1868 and H.J. Res. 17. The resolution provides for one hour of general debate on H.R. 1620, H.R. 6, H.R. 1603, H.R. 1868, and H.J.Res. 17. The resolution provides that H.Res. 232 is hereby adopted.","Pursuant to the provisions of H. Res. 403, proceedings on H.R. 210 are considered vacated.",Sponsor introductory remarks on measure. (CR E1),Committee on Veterans' Affairs discharged.,Committee on Veterans' Affairs discharged.,On motion to suspend the rules and pass the bill Agreed to by voice vote. (text: CR H69-70),Mr. Pallone moved to suspend the rules and pass the bill.,,,Senate Committee on Veterans' Affairs discharged by Unanimous Consent.(consideration: CR S5990),,"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 4350.",On motion to recommit Failed by the Yeas and Nays: 206 - 212 (Roll no. 76).,The previous question on the motion was ordered pursuant to clause 2(b) of rule XIX.,Mr. Hudson moved to recommit to the Committee on the Judiciary. (text: CR H1314),Became Public Law No: 117-5.,Became Public Law No: 117-15.,,,,,,"Supplemental report filed by the Committee on Foreign Affairs, H. Rept. 117-56, Part II.","Placed on the Union Calendar, Calendar No. 59.",Reported by the Committee on Transportation and Infrastructure. H. Rept. 117-157.,,,Committee on Indian Affairs. Reported by Senator Schatz without amendment. With written report No. 117-13.,,,On motion that the House concur in the Senate amendment Agreed to by the Yeas and Nays: 220 - 211 (Roll no. 72). (text: CR H1196-1259),Resolving differences -- House actions: On motion that the House concur in the Senate amendment Agreed to by the Yeas and Nays: 220 - 211 (Roll no. 72).(text: CR H1196-1259),,On motion to table the motion to postpone consideration to a day certain Agreed to by the Yeas and Nays: 214 - 204 (Roll no. 4).,Mr. McGovern moved to table the motion to reconsider,Mr. Cole moved to postpone consideration to a day certain.,,"Placed on the House Calendar, Calendar No. 2.","The House Committee on Appropriations reported an original measure, H. Rept. 117-83, by Ms. Pingree.",,"House Committee on Ways and Means Granted an extension for further consideration ending not later than Nov. 8, 2021.","Motion to Discharge Committee filed by Mr. Roy. Petition No: 117-3. (<a href=""https://clerk.house.gov/DischargePetition/20210421?CongressNum=117"">Discharge petition</a> text with signatures.)",,,,,,,,,,,,,Resolution provides for consideration of H.R. 256 under a closed rule and provides for consideration of H.R. 1187 under a structured rule. The resolution provides for one hour of debate for each bill and for one motion to recommit for each bill. The resolution provides that H. Res. 467 is adopted.,,,,
Referred to the Subcommittee on Trade.,,On agreeing to the resolution Agreed to without objection. (text: CR H10),"Passed/agreed to in House: On motion to suspend the rules and agree to the resolution, as amended Agreed to by voice vote.(text: CR H6134)",Considered as privileged matter. (consideration: CR H10),,,Referred to the House Committee on Energy and Commerce.,Passed/agreed to in Senate: Resolution agreed to in Senate with amendments by Yea-Nay Vote. 50 - 49. Record Vote Number: 357.(text: CR S6237-6249),Mr. Takano asked unanimous consent to discharge from committee and consider.,On ordering the previous question Agreed to by the Yeas and Nays: 217 - 208 (Roll no. 151). (consideration: CR H2573-2574),"Pursuant to clause 1(c) of Rule XIX, further consideration of H.R. 1 was postponed.",Rule H. Res. 303 passed House.,Rules Committee Resolution H. Res. 473 Reported to House. Resolution provides for consideration of H.R. 256 under a closed rule and provides for consideration of H.R. 1187 under a structured rule. The resolution provides for one hour of debate for each bill and for one motion to recommit for each bill. The resolution provides that H. Res. 467 is adopted.,"Pursuant to the provisions of H. Res. 403, proceedings on H.R. 240 are considered vacated.",Sponsor introductory remarks on measure. (CR E2),Committee on the Budget discharged.,Committee on the Budget discharged.,On motion to suspend the rules and pass the bill Agreed to by voice vote. (text: CR H2225),Mr. Mfume moved to suspend the rules and pass the bill.,,,Senate Committee on Energy and Natural Resources discharged by Unanimous Consent.,,"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 1319.",On motion to recommit Failed by the Yeas and Nays: 206 - 218 (Roll no. 69).,The previous question on the motion to commit was ordered pursuant to clause 2(b) of rule XIX.,Mr. Banks moved to recommit to the Committee on Education and Labor. (text: CR H1176-1177),Became Public Law No: 117-6.,Became Public Law No: 117-5.,,,,,,Reported by the Committee on Foreign Affairs. H. Rept. 117-56.,"Placed on the Union Calendar, Calendar No. 44.",Reported (Amended) by the Committee on Education and Labor. H. Rept. 117-63.,,,Committee on Homeland Security and Governmental Affairs. Reported by Senator Peters with an amendment in the nature of a substitute. With written report No. 117-21.,,,On motion that the House agree to the Senate amendment Agreed to by the Yeas and Nays: 254 - 175 (Roll no. 311).,Resolving differences -- House actions: On motion that the House agree to the Senate amendment Agreed to by the Yeas and Nays: 254 - 175 (Roll no. 311).,,On motion to table the motion to reconsider Agreed to by the Yeas and Nays: 201 - 192 (Roll no. 234).,,Mr. McGovern moved to table the motion to reconsider.,,"Placed on the House Calendar, Calendar No. 18.","The House Committee on Appropriations reported an original measure, H. Rept. 117-81, by Ms. Wasserman Schultz.",,"House Committee on Energy and Commerce Granted an extension for further consideration ending not later than Nov. 8, 2021.","Motion to Discharge Committee filed by Mr. Perry. Petition No: 117-4. (<a href=""https://clerk.house.gov/DischargePetition/20210511?CongressNum=117"">Discharge petition</a> text with signatures.)",,,,,,,,,,,,,The previous question on each measure is considered ordered without intervening motions except one hour of debate and a motion to recommit. H. Res. 316 and H. Con. Res. 30 are adopted.,,,,
